Date,Transaction_ID,Account_Code,Account_Name,Description,Debit,Credit,Department,Notes,Net_Amount
2024-01-10,TXN-1005,5400,Office Supplies,Consulting Fees Billed,13304.69,0.0,Operations,Approved,-13304.69
2024-02-02,TXN-1017,1100,Accounts Receivable,Consulting Fees Billed,11032.0,0.0,Sales,Approved,-11032.0
2024-11-01,TXN-1158,5300,Marketing Expense,Bank Charges,9762.68,0.0,Sales,Approved,-9762.68
2024-11-20,TXN-1168,5400,Office Supplies,Bank Charges,2248.3,0.0,Finance,,-2248.3
2024-05-06,TXN-1081,4100,Revenue - Retainer,Office Supply Purchase,0.0,14127.74,Sales,Pending Review,14127.74
2024-04-29,TXN-1062,5300,Marketing Expense,Consulting Fees Billed,599.0,0.0,Finance,Approved,-599.0
2024-03-05,,4100,Revenue - Retainer,Software Licence Renewal,0.0,12556.68,Operations,Pending Review,12556.68
2024-02-20,TXN-1026,2000,Accounts Payable,Payroll Run,6214.0,0.0,Operations,Approved,-6214.0
2024-12-10,TXN-1148,1000,Cash And Bank,Retainer Fee - Q1,6656.0,0.0,Finance,Pending Review,-6656.0
2024-03-20,TXN-1041,2000,Accounts Payable,Client Invoice Payment Received,11101.15,0.0,Sales,Approved,-11101.15
2024-04-10,TXN-1052,5200,Software Subscriptions,Client Invoice Payment Received,9246.0,0.0,Admin,Approved,-9246.0
2024-06-24,TXN-1091,5200,Software Subscriptions,Retainer Fee - Q1,7880.0,0.0,Operations,Approved,-7880.0
2024-11-30,TXN-1173,5300,Marketing Expense,Software Licence Renewal,14115.34,0.0,Operations,,-14115.34
2024-10-16,TXN-1150,5000,Salaries Expense,Monthly Office Rent,1504.0,0.0,Operations,Approved,-1504.0
2024-05-15,TXN-1070,5200,Software Subscriptions,Bank Charges,10668.0,0.0,Admin,Approved,-10668.0
2024-11-16,TXN-1166,4000,Revenue - Consulting,Bank Charges,0.0,14549.91,Sales,Approved,14549.91
2024-02-08,TXN-1111,5100,Rent Expense,Office Supply Purchase,10416.64,0.0,Finance,Approved,-10416.64
2024-01-16,TXN-1008,4000,Revenue - Consulting,Consulting Fees Billed,0.0,2618.36,Finance,,2618.36
2024-07-19,TXN-1104,1000,Cash And Bank,Office Supply Purchase,10892.17,0.0,Sales,,-10892.17
2024-06-01,TXN-1079,4100,Revenue - Retainer,Bank Charges,0.0,409.4,Finance,Approved,409.4
2024-08-29,TXN-1125,5400,Office Supplies,Tax Remittance,14572.18,0.0,Operations,,-14572.18
2024-02-26,TXN-1029,2000,Accounts Payable,Tax Remittance,1041.82,0.0,Finance,Approved,-1041.82
2024-01-06,TXN-1003,4000,Revenue - Consulting,Consulting Fees Billed,0.0,14366.75,Sales,Approved,14366.75
2024-03-16,TXN-1039,2000,Accounts Payable,Software Licence Renewal,6560.84,0.0,Finance,,-6560.84
2024-04-06,TXN-1050,5200,Software Subscriptions,Monthly Office Rent,10199.28,0.0,Sales,Pending Review,-10199.28
2024-05-28,TXN-1077,5000,Salaries Expense,Software Licence Renewal,1969.0,0.0,Sales,Pending Review,-1969.0
2024-10-11,TXN-1163,5000,Salaries Expense,Monthly Office Rent,14225.49,0.0,Operations,,-14225.49
2024-04-14,TXN-1054,5300,Marketing Expense,Payroll Run,7075.0,0.0,Finance,,-7075.0
2024-06-22,TXN-1090,5000,Salaries Expense,Google Ads Campaign,9134.96,0.0,Operations,Approved,-9134.96
2024-03-24,TXN-1043,4000,Revenue - Consulting,Google Ads Campaign,0.0,550.23,Finance,,550.23
2024-11-03,TXN-1159,4100,Revenue - Retainer,Consulting Fees Billed,0.0,5933.77,Operations,Approved,5933.77
2024-04-02,TXN-1048,4100,Revenue - Retainer,Client Invoice Payment Received,0.0,8405.3,Sales,,8405.3
2024-11-24,TXN-1170,5000,Salaries Expense,Retainer Fee - Q1,13970.98,0.0,Sales,Approved,-13970.98
2024-04-23,TXN-1059,4000,Revenue - Consulting,Retainer Fee - Q1,0.0,12526.0,Operations,Approved,12526.0
2024-01-29,TXN-1015,5300,Marketing Expense,Bank Charges,9212.76,0.0,Sales,Approved,-9212.76
2024-02-08,TXN-1020,1000,Cash And Bank,Client Invoice Payment Received,8906.97,0.0,Finance,,-8906.97
2024-12-27,TXN-1187,2000,Accounts Payable,Payroll Run,14301.28,0.0,Finance,Pending Review,-14301.28
2024-01-18,TXN-1009,5000,Salaries Expense,Consulting Fees Billed,6137.0,0.0,Admin,Pending Review,-6137.0
2024-07-21,TXN-1105,5100,Rent Expense,Consulting Fees Billed,9817.0,0.0,Operations,,-9817.0
2024-10-30,TXN-1157,4000,Revenue - Consulting,Monthly Office Rent,0.0,4958.6,Finance,,4958.6
2024-01-24,TXN-1012,5100,Rent Expense,Google Ads Campaign,9026.85,0.0,Finance,Pending Review,-9026.85
2024-01-31,TXN-1016,5200,Software Subscriptions,Client Invoice Payment Received,488.26,0.0,Sales,,-488.26
2024-03-31,TXN-1047,5400,Office Supplies,Google Ads Campaign,4845.0,0.0,Sales,Approved,-4845.0
2024-10-10,TXN-1147,5100,Rent Expense,Bank Charges,2800.28,0.0,Operations,Approved,-2800.28
2024-08-17,TXN-1119,5000,Salaries Expense,Software Licence Renewal,1803.52,0.0,Finance,Approved,-1803.52
2024-02-10,TXN-1021,1000,Cash And Bank,Office Supply Purchase,12922.6,0.0,Sales,Approved,-12922.6
2024-12-15,TXN-1181,5300,Marketing Expense,Consulting Fees Billed,7206.32,0.0,Operations,Pending Review,-7206.32
2024-05-20,TXN-1073,4100,Revenue - Retainer,Client Invoice Payment Received,0.0,5237.01,Operations,Approved,5237.01
2024-02-27,TXN-1030,5100,Rent Expense,Monthly Office Rent,1974.0,0.0,Finance,,-1974.0
2024-10-08,TXN-1146,4100,Revenue - Retainer,Monthly Office Rent,0.0,14190.8,Admin,Pending Review,14190.8
2024-03-04,TXN-1033,2000,Accounts Payable,Payroll Run,14012.0,0.0,Operations,,-14012.0
2024-12-02,TXN-1174,4000,Revenue - Consulting,Tax Remittance,0.0,6413.42,Finance,,6413.42
2024-08-25,TXN-1123,5200,Software Subscriptions,Consulting Fees Billed,14268.22,0.0,Operations,Approved,-14268.22
2024-07-12,TXN-1100,4100,Revenue - Retainer,Office Supply Purchase,0.0,12344.0,Sales,Approved,12344.0
2024-10-28,TXN-1156,4100,Revenue - Retainer,Tax Remittance,0.0,1335.62,Admin,,1335.62
2024-12-13,,5200,Software Subscriptions,Consulting Fees Billed,747.36,0.0,Sales,Approved,-747.36
2024-03-08,TXN-1035,1100,Accounts Receivable,Consulting Fees Billed,11187.77,0.0,Finance,Pending Review,-11187.77
2024-01-20,TXN-1010,5200,Software Subscriptions,Tax Remittance,2314.0,0.0,Sales,Approved,-2314.0
2024-05-17,TXN-1071,5400,Office Supplies,Office Supply Purchase,4172.25,0.0,Operations,Approved,-4172.25
2024-06-28,,5100,Rent Expense,Google Ads Campaign,12240.78,0.0,Operations,Approved,-12240.78
2024-08-15,,5000,Salaries Expense,Consulting Fees Billed,1536.48,0.0,Sales,Approved,-1536.48
2024-10-05,TXN-1144,5200,Software Subscriptions,Retainer Fee - Q1,6329.92,0.0,Sales,Pending Review,-6329.92
2024-01-02,TXN-1001,1000,Cash And Bank,Software Licence Renewal,641.0,0.0,Finance,Approved,-641.0
2024-06-09,TXN-1083,5400,Office Supplies,Tax Remittance,3540.0,0.0,Sales,,-3540.0
2024-12-31,TXN-1189,1100,Accounts Receivable,Google Ads Campaign,8694.04,0.0,Operations,,-8694.04
2024-06-17,TXN-1087,5400,Office Supplies,Payroll Run,9985.51,0.0,Operations,Approved,-9985.51
2024-09-21,TXN-1137,1000,Cash And Bank,Bank Charges,14532.3,0.0,Finance,Pending Review,-14532.3
2024-01-08,TXN-1004,1000,Cash And Bank,Bank Charges,11000.03,0.0,Operations,Pending Review,-11000.03
2024-03-14,TXN-1038,5100,Rent Expense,Client Invoice Payment Received,8501.42,0.0,Sales,,-8501.42
2024-11-26,TXN-1171,1000,Cash And Bank,Payroll Run,4916.54,0.0,Sales,Approved,-4916.54
2024-04-18,TXN-1056,5200,Software Subscriptions,Office Supply Purchase,4036.03,0.0,Sales,Approved,-4036.03
2024-03-25,TXN-1044,5100,Rent Expense,Google Ads Campaign,10256.87,0.0,Sales,Approved,-10256.87
2024-01-12,TXN-1006,1100,Accounts Receivable,Consulting Fees Billed,12858.7,0.0,Sales,Approved,-12858.7
2024-04-16,TXN-1055,5300,Marketing Expense,Office Supply Purchase,9012.69,0.0,Finance,Approved,-9012.69
2024-05-24,TXN-1075,5100,Rent Expense,Bank Charges,10438.45,0.0,Admin,Pending Review,-10438.45
2024-01-01,TXN-1000,1100,Accounts Receivable,Monthly Office Rent,570.16,0.0,Sales,Approved,-570.16
2024-11-28,TXN-1172,2000,Accounts Payable,Client Invoice Payment Received,11430.85,0.0,Finance,Approved,-11430.85
2024-09-17,TXN-1135,5200,Software Subscriptions,Client Invoice Payment Received,1193.57,0.0,Operations,Approved,-1193.57
2024-09-02,TXN-1127,2000,Accounts Payable,Client Invoice Payment Received,8195.19,0.0,Operations,Approved,-8195.19
2024-12-05,TXN-1176,2000,Accounts Payable,Bank Charges,10032.7,0.0,Admin,Approved,-10032.7
2024-05-11,TXN-1068,4000,Revenue - Consulting,Client Invoice Payment Received,0.0,1708.14,Sales,Approved,1708.14
2024-11-18,TXN-1167,4000,Revenue - Consulting,Retainer Fee - Q1,0.0,5644.0,Finance,Approved,5644.0
2024-09-19,TXN-1136,5300,Marketing Expense,Consulting Fees Billed,1087.0,0.0,Operations,Pending Review,-1087.0
2024-03-22,TXN-1042,1100,Accounts Receivable,Office Supply Purchase,5861.62,0.0,Sales,Approved,-5861.62
2024-07-31,TXN-1110,1000,Cash And Bank,Office Supply Purchase,13503.85,0.0,Sales,Approved,-13503.85
2024-06-20,TXN-1089,5100,Rent Expense,Tax Remittance,14151.61,0.0,Admin,Pending Review,-14151.61
2024-05-19,TXN-1072,5400,Office Supplies,Payroll Run,9232.0,0.0,Finance,Approved,-9232.0
2024-02-14,TXN-1023,5000,Salaries Expense,Consulting Fees Billed,6468.96,0.0,Operations,Approved,-6468.96
2024-10-01,TXN-1142,5200,Software Subscriptions,Tax Remittance,5245.26,0.0,Operations,Approved,-5245.26
2024-06-26,TXN-1092,5000,Salaries Expense,Retainer Fee - Q1,6243.0,0.0,Sales,Pending Review,-6243.0
2024-07-17,TXN-1103,2000,Accounts Payable,Office Supply Purchase,7530.86,0.0,Sales,Approved,-7530.86
2024-10-18,TXN-1151,5000,Salaries Expense,Bank Charges,3479.27,0.0,Operations,Approved,-3479.27
2024-05-09,TXN-1067,4100,Revenue - Retainer,Client Invoice Payment Received,0.0,1799.86,Operations,,1799.86
2024-02-18,TXN-1025,4100,Revenue - Retainer,Consulting Fees Billed,0.0,7046.9,Operations,Approved,7046.9
2024-12-03,TXN-1175,5400,Office Supplies,Consulting Fees Billed,3780.68,0.0,Sales,Approved,-3780.68
